"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","Eswatini","African Region","Females","","22.623983","8.4936399","41.705833","",
"Physical inactivity, adults aged 18+","","2022","Ethiopia","African Region","Total","","9.4297638","4.6323409","16.175266","",
"Physical inactivity, adults aged 18+","","2022","Ethiopia","African Region","Males","","6.5875998","2.3216841","13.400385","",
"Physical inactivity, adults aged 18+","","2022","Ethiopia","African Region","Females","","12.103188","4.3318877","23.971922","",
"Physical inactivity, adults aged 18+","","2022","European Region","European Region","Total","","24.96911","22.167498","28.248905","",
"Physical inactivity, adults aged 18+","","2022","European Region","European Region","Males","","22.925482","19.310669","27.043325","",
"Physical inactivity, adults aged 18+","","2022","European Region","European Region","Females","","26.956547","22.69084","32.157864","",
"Physical inactivity, adults aged 18+","","2022","Fiji","Western Pacific Region","Total","","15.530147","6.3194861","28.630253","",
"Physical inactivity, adults aged 18+","","2022","Fiji","Western Pacific Region","Males","","9.0171318","2.3720822","21.404903","",
"Physical inactivity, adults aged 18+","","2022","Fiji","Western Pacific Region","Females","","21.796122","6.151576","45.98761","",
"Physical inactivity, adults aged 18+","","2022","Finland","European Region","Total","","9.5760174","6.2317743","13.755913","",
"Physical inactivity, adults aged 18+","","2022","Finland","European Region","Males","","11.063978","6.1605973","17.504168","",
"Physical inactivity, adults aged 18+","","2022","Finland","European Region","Females","","8.0807552","4.0132866","14.093672","",
"Physical inactivity, adults aged 18+","","2022","France","European Region","Total","","23.179119","16.71871","30.344805","",
"Physical inactivity, adults aged 18+","","2022","France","European Region","Males","","19.847729","12.185119","28.728676","",
"Physical inactivity, adults aged 18+","","2022","France","European Region","Females","","26.307615","16.499533","37.546875","",
"Physical inactivity, adults aged 18+","","2022","Gabon","African Region","Total","","20.818705","7.1474218","40.236729","",
"Physical inactivity, adults aged 18+","","2022","Gabon","African Region","Males","","17.125404","3.9497797","40.571903","",
